,location,size,total_sqft,bath,price,bhk,price_per_sqrt
0,1st Block Jayanagar,3 BHK,1630.0,3.0,194.0,3,11901.840490797545
1,1st Block Jayanagar,3 BHK,1875.0,2.0,235.0,3,12533.333333333334
2,1st Block Jayanagar,3 BHK,1200.0,2.0,130.0,3,10833.333333333334
3,1st Block Jayanagar,2 BHK,1235.0,2.0,148.0,2,11983.805668016194
4,1st Phase JP Nagar,3 BHK,1875.0,3.0,167.0,3,8906.666666666666
5,1st Phase JP Nagar,2 BHK,1394.0,2.0,100.0,2,7173.601147776184
6,1st Phase JP Nagar,2 BHK,1077.0,2.0,93.0,2,8635.097493036212
7,1st Phase JP Nagar,3 BHK,1590.0,3.0,131.0,3,8238.993710691824
8,1st Phase JP Nagar,3 BHK,2180.0,3.0,210.0,3,9633.02752293578
9,1st Phase JP Nagar,2 BHK,1180.0,2.0,88.5,2,7500.0
10,1st Phase JP Nagar,2 BHK,1200.0,2.0,86.0,2,7166.666666666667
11,1st Phase JP Nagar,3 BHK,2077.0,3.0,175.0,3,8425.613866153106
12,1st Phase JP Nagar,2 BHK,1205.0,2.0,85.0,2,7053.941908713693
13,1st Phase JP Nagar,2 BHK,900.0,2.0,75.0,2,8333.333333333334
14,2nd Phase Judicial Layout,3 BHK,1450.0,2.0,50.75,3,3500.0
15,2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500.0
16,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
17,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
18,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
19,2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500.0
20,2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5,20000.0
21,2nd Stage Nagarbhavi,4 Bedroom,600.0,3.0,95.0,4,15833.333333333334
22,2nd Stage Nagarbhavi,3 Bedroom,600.0,4.0,100.0,3,16666.666666666668
23,2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,225.0,4,18750.0
24,2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5,20000.0
25,2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5,20000.0
26,2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5,20000.0
27,2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5,20000.0
28,2nd Stage Nagarbhavi,4 Bedroom,1500.0,3.0,230.0,4,15333.333333333334
29,2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5,20000.0
30,5th Block Hbr Layout,3 BHK,1270.0,2.0,70.0,3,5511.811023622047
31,5th Block Hbr Layout,4 Bedroom,1200.0,4.0,205.0,4,17083.333333333332
32,5th Block Hbr Layout,5 BHK,1200.0,5.0,205.0,5,17083.333333333332
33,5th Block Hbr Layout,6 BHK,5100.0,5.0,300.0,6,5882.35294117647
34,5th Block Hbr Layout,5 Bedroom,1200.0,5.0,205.0,5,17083.333333333332
35,5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
36,5th Phase JP Nagar,2 BHK,1150.0,3.0,52.5,2,4565.217391304348
37,5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
38,5th Phase JP Nagar,2 BHK,1207.0,2.0,63.0,2,5219.552609776305
39,5th Phase JP Nagar,3 BHK,1725.0,2.0,100.0,3,5797.101449275362
40,5th Phase JP Nagar,2 BHK,1440.0,2.0,60.0,2,4166.666666666667
41,5th Phase JP Nagar,3 BHK,1400.0,2.0,88.0,3,6285.714285714285
42,5th Phase JP Nagar,3 BHK,1700.0,2.0,100.0,3,5882.35294117647
43,5th Phase JP Nagar,5 BHK,2500.0,5.0,110.0,5,4400.0
44,5th Phase JP Nagar,1 BHK,600.0,1.0,30.0,1,5000.0
45,5th Phase JP Nagar,2 BHK,1390.0,2.0,65.0,2,4676.258992805755
46,5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
47,5th Phase JP Nagar,2 BHK,1000.0,2.0,48.0,2,4800.0
48,5th Phase JP Nagar,3 BHK,1350.0,2.0,75.0,3,5555.555555555556
49,5th Phase JP Nagar,1 BHK,552.0,1.0,23.5,1,4257.246376811594
50,5th Phase JP Nagar,2 BHK,1200.0,2.0,51.0,2,4250.0
51,5th Phase JP Nagar,2 BHK,1030.0,2.0,57.0,2,5533.980582524272
52,5th Phase JP Nagar,2 BHK,1200.0,2.0,68.0,2,5666.666666666667
53,5th Phase JP Nagar,2 BHK,1190.0,2.0,61.8,2,5193.27731092437
54,5th Phase JP Nagar,5 BHK,4000.0,5.0,170.0,5,4250.0
55,5th Phase JP Nagar,2 BHK,1080.0,2.0,53.0,2,4907.407407407408
56,5th Phase JP Nagar,2 BHK,1041.0,2.0,54.0,2,5187.319884726225
57,5th Phase JP Nagar,2 BHK,812.0,2.0,42.0,2,5172.413793103448
58,5th Phase JP Nagar,2 BHK,1010.0,2.0,57.0,2,5643.564356435643
59,5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
60,6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,6208.053691275168
61,6th Phase JP Nagar,2 BHK,1180.0,2.0,80.0,2,6779.661016949152
62,6th Phase JP Nagar,2 BHK,1140.0,2.0,65.0,2,5701.754385964912
63,6th Phase JP Nagar,8 Bedroom,1650.0,6.0,135.0,8,8181.818181818182
64,6th Phase JP Nagar,2 BHK,1460.0,2.0,80.0,2,5479.45205479452
65,6th Phase JP Nagar,3 BHK,1810.0,3.0,131.0,3,7237.5690607734805
66,6th Phase JP Nagar,3 BHK,1515.0,2.0,135.0,3,8910.89108910891
67,6th Phase JP Nagar,2 BHK,1192.0,2.0,75.0,2,6291.946308724832
68,6th Phase JP Nagar,2 BHK,1280.0,2.0,88.0,2,6875.0
69,7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2,6666.666666666667
70,7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,7322.834645669292
71,7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3,7042.2535211267605
72,7th Phase JP Nagar,2 BHK,1245.0,2.0,94.0,2,7550.2008032128515
73,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2,6978.723404255319
74,7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3,6785.714285714285
75,7th Phase JP Nagar,3 BHK,2225.0,3.0,160.0,3,7191.011235955056
76,7th Phase JP Nagar,2 BHK,1050.0,2.0,71.0,2,6761.9047619047615
77,7th Phase JP Nagar,2 BHK,918.0,2.0,50.49,2,5500.0
78,7th Phase JP Nagar,3 BHK,1450.0,2.0,100.0,3,6896.551724137931
79,7th Phase JP Nagar,3 BHK,1420.0,2.0,96.0,3,6760.56338028169
80,7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3,7142.857142857143
81,7th Phase JP Nagar,2 BHK,980.0,2.0,69.0,2,7040.816326530612
82,7th Phase JP Nagar,2 BHK,1180.0,2.0,72.0,2,6101.6949152542375
83,7th Phase JP Nagar,2 BHK,1270.0,2.0,83.0,2,6535.433070866142
84,7th Phase JP Nagar,4 BHK,2503.0,4.0,188.0,4,7510.986815821015
85,7th Phase JP Nagar,3 BHK,1575.0,2.0,110.0,3,6984.126984126984
86,7th Phase JP Nagar,3 BHK,1850.0,3.0,140.0,3,7567.5675675675675
87,7th Phase JP Nagar,3 BHK,1575.0,2.0,120.0,3,7619.047619047619
88,7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3,7142.857142857143
89,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.5,2,7021.276595744681
90,7th Phase JP Nagar,2 BHK,1215.0,2.0,90.0,2,7407.407407407408
91,7th Phase JP Nagar,2 BHK,1050.0,2.0,75.0,2,7142.857142857143
92,7th Phase JP Nagar,3 BHK,1300.0,3.0,89.13,3,6856.153846153846
93,7th Phase JP Nagar,2 BHK,1130.0,2.0,73.0,2,6460.1769911504425
94,7th Phase JP Nagar,3 BHK,1450.0,3.0,100.0,3,6896.551724137931
95,7th Phase JP Nagar,2 BHK,1275.0,2.0,87.0,2,6823.529411764706
96,7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
97,7th Phase JP Nagar,3 BHK,1680.0,3.0,117.0,3,6964.285714285715
98,7th Phase JP Nagar,2 BHK,1000.0,2.0,53.0,2,5300.0
99,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191
100,7th Phase JP Nagar,2 BHK,1000.0,2.0,61.0,2,6100.0
101,7th Phase JP Nagar,3 BHK,1460.0,2.0,100.0,3,6849.315068493151
102,7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
103,7th Phase JP Nagar,2 BHK,1200.0,2.0,62.5,2,5208.333333333333
104,7th Phase JP Nagar,2 BHK,1000.0,2.0,70.65,2,7065.000000000001
105,7th Phase JP Nagar,2 BHK,1080.0,2.0,75.0,2,6944.444444444444
106,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191
107,7th Phase JP Nagar,3 BHK,1460.0,2.0,97.0,3,6643.835616438356
108,7th Phase JP Nagar,2 BHK,1120.0,2.0,65.0,2,5803.571428571428
109,7th Phase JP Nagar,2 BHK,1100.0,3.0,60.0,2,5454.545454545455
110,7th Phase JP Nagar,3 BHK,1790.0,3.0,120.0,3,6703.91061452514
111,7th Phase JP Nagar,3 BHK,1680.0,3.0,117.0,3,6964.285714285715
112,7th Phase JP Nagar,2 BHK,1050.0,2.0,77.0,2,7333.333333333333
113,7th Phase JP Nagar,2 BHK,1050.0,2.0,75.0,2,7142.857142857143
114,7th Phase JP Nagar,2 BHK,1040.0,2.0,75.0,2,7211.538461538462
115,7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3,6785.714285714285
